"perc","tmean"
"0.0%",6.51006540300893
"0.1%",7.80888720677867
"0.2%",8.36087440206057
"0.3%",8.70530042896766
"0.4%",8.96074490206272
"0.5%",9.17450362483972
"0.6%",9.34278742809825
"0.7%",9.49955961580924
"0.8%",9.6411433729745
"0.9%",9.77250735796169
"1.0%",9.89265638676967
"2.0%",10.7759291078842
"3.0%",11.3712837777426
"4.0%",11.835745467632
"5.0%",12.220610000716
"6.0%",12.5494659762757
"7.0%",12.8517074021103
"8.0%",13.1167027636292
"9.0%",13.3626267250207
"10.0%",13.6022950970287
"11.0%",13.820558181783
"12.0%",14.0294681893132
"13.0%",14.2217729336253
"14.0%",14.4099283473413
"15.0%",14.5878565246045
"16.0%",14.7564696731836
"17.0%",14.9158501698809
"18.0%",15.0755301903566
"19.0%",15.233557794466
"20.0%",15.37523121974
"21.0%",15.52714056427
"22.0%",15.6594501564082
"23.0%",15.7923510863928
"24.0%",15.9204790246411
"25.0%",16.0452522882664
"26.0%",16.1742979564495
"27.0%",16.294976804686
"28.0%",16.4137038645829
"29.0%",16.5341455481161
"30.0%",16.6429428282865
"31.0%",16.7502457224044
"32.0%",16.8632624592078
"33.0%",16.9700318741758
"34.0%",17.0840965675036
"35.0%",17.1836163229188
"36.0%",17.2926778122587
"37.0%",17.3961017640399
"38.0%",17.4970736734554
"39.0%",17.6001996924824
"40.0%",17.7017027863353
"41.0%",17.7939084590257
"42.0%",17.899000036269
"43.0%",17.9916270740848
"44.0%",18.0937725061259
"45.0%",18.1906436741437
"46.0%",18.2897027039265
"47.0%",18.3826243738402
"48.0%",18.4838935570293
"49.0%",18.5735413896791
"50.0%",18.6641158843865
"51.0%",18.7656187979304
"52.0%",18.8539835436263
"53.0%",18.9499835997364
"54.0%",19.0433138604112
"55.0%",19.1390899936398
"56.0%",19.2373482942655
"57.0%",19.32546953807
"58.0%",19.4200312839652
"59.0%",19.5212366501562
"60.0%",19.6206459672204
"61.0%",19.7143119125609
"62.0%",19.8084907405628
"63.0%",19.9119967020847
"64.0%",20.009222544928
"65.0%",20.1081442318981
"66.0%",20.2034070343838
"67.0%",20.3072100250453
"68.0%",20.4119295971926
"69.0%",20.5170783542723
"70.0%",20.6195107985287
"71.0%",20.7324453145606
"72.0%",20.8363021472126
"73.0%",20.9439087871737
"74.0%",21.0553615618467
"75.0%",21.1679971161505
"76.0%",21.2875639239686
"77.0%",21.3956006988636
"78.0%",21.5157419986174
"79.0%",21.6352949903927
"80.0%",21.7631457357199
"81.0%",21.893297675078
"82.0%",22.0251146592315
"83.0%",22.1690647064564
"84.0%",22.3162167030243
"85.0%",22.4594281683133
"86.0%",22.625887588938
"87.0%",22.7886949147038
"88.0%",22.9552386706335
"89.0%",23.14215153741
"90.0%",23.3361055084851
"91.0%",23.5488917670964
"92.0%",23.7720554080614
"93.0%",24.0352369127889
"94.0%",24.316092513567
"95.0%",24.643912411455
"96.0%",25.0114606959
"97.0%",25.4739710180278
"98.0%",26.071200043882
"99.0%",26.9585835331295
"99.1%",27.0828107422617
"99.2%",27.2174765409158
"99.3%",27.3723564048207
"99.4%",27.5568570305218
"99.5%",27.7296185001167
"99.6%",27.9570199087491
"99.7%",28.23917356305
"99.8%",28.5895399515349
"99.9%",29.1114912590908
"100.0%",30.3487483682381
