year;Estonia;Finland;Norway;Sweden;UK;Czechia;Moldova;Romania;Hungary;Poland;Serbia;France;Germany;Netherlands;Switzerland;Greece;Italy;Portugal;Spain;Cyprus;Malta;Iceland;Ireland
1969;;;0;;;;;;;;;;;;;;;;;;;;
1970;;;0;;;;;;;;;;;;;;;;;;;;
1971;;;0;;;;;;;;;;;;;;;;;;;;
1972;;;0;;;;;;;;;;;;;;;;;;;;
1973;;;0;;;;;;;;;;;;;;;;;;;;
1974;;;0;;;;;;;;;;;;;;;;;;;;
1975;;;0;;;;;;;;;;;;;;;;;;;;
1976;;;0;;;;;;;;;;;;;;;;;;;;
1977;;;0;;;;;;;;;;;;;;;;;;;;
1978;;;0;;;;;;;;;;;;;;;;;;;;
1979;;;0;;;;;;;;;;;;;;;;;;;;
1980;;;0;;;;;;;;;;;;;;;0;;;;;
1981;;;0;;;;;;;;;;;;;;;0;;;;;
1982;;;0;;;;;;;;;;;;;;;0;;;;;
1983;;;0;;;;;;;;;;;;;;;0;;;;;
1984;;;0;;;;;;;;;;;;;;;0;;;;;
1985;;;0;;;;;;;;;;;;;;;0;;;;;
1986;;;0;;;;;;;;;;;;;;;0;;;;;
1987;;;0;;;;;;;;;;;;;;0;0;;;;;
1988;;;0;;;;;;;;;;;;;;0;0;;;;;
1989;;;0;;;;;;;;;;;;;;0;0;;;;;
1990;;;0;0;0;;;;;;;;;;;;0;0;0;;;;
1991;;;0;0;0;;;;;0;;;;;;;0;0;0;;;;
1992;;;0;0;0;;;;;0;;;;;;;0;0;0;;;;
1993;;;0;0;0;;;;;0;;;0;;;;0;0;0;;;;
1994;;0;0;0;0;0;;0;;0;;;0;;;;0;0;0;;;;
1995;;0;0;0;0;0;;0;;0;0;;0;0;0;;0;0;0;;;;
1996;;0;0;0;0;0;;0;;0;0;;0;0;0;;0;0;0;;;;
1997;0;0;0;0;0;0;;0;;0;0;;0;0;0;;0;0;0;;;;
1998;0;0;0;0;0;0;;0;;0;0;;0;0;0;;0;0;0;;;;
1999;0;0;0;0;0;0;;0;;0;0;;0;0;0;;0;3;0;;;;
2000;0;0;0;0;0;2;;0;;0;0;0;0;0;0;;0;3;0;;;;
2001;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;0;0;3;0;;;;
2002;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;0;0;3;0;;;;
2003;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;0;0;3;0;;;;
2004;0;0;0;0;3;2;0;0;2;1;0;3;0;0;0;0;3;3;3;;;;
2005;0;0;0;0;3;2;0;0;2;1;0;3;3;0;2;0;3;3;3;;;;
2006;0;0;0;0;3;2;0;2;2;1;0;3;3;0;2;0;3;3;3;;;;
2007;0;0;0;0;3;2;0;2;2;1;2;3;3;2;2;0;3;3;3;;;;
2008;0;0;0;0;3;2;0;2;2;1;2;3;3;2;2;0;3;3;3;;;;
2009;0;0;0;0;3;2;0;2;2;1;2;3;3;2;2;0;3;3;3;;;;
2010;0;0;0;0;3;2;0;2;2;1;2;3;3;2;2;0;3;3;3;;;;
2011;0;1;0;0;3;2;0;2;2;1;2;3;3;2;2;0;3;3;3;;;;
2012;0;1;0;0;3;2;0;2;2;1;2;3;3;2;2;0;3;3;3;;;;
2013;0;1;0;1;3;2;0;2;2;1;2;3;3;2;2;0;3;3;3;;;;
2014;0;1;0;1;3;2;0;2;2;1;2;3;3;2;2;0;3;3;3;;;;
2015;0;1;0;1;3;2;0;2;2;1;2;3;3;2;2;0;3;3;3;;;;
2016;0;1;0;1;3;2;0;2;2;1;2;3;3;2;2;3;3;3;3;;;;
2017;0;1;0;1;3;2;0;2;2;1;2;3;3;2;2;3;3;3;3;;;;
2018;0;1;0;1;3;2;0;2;2;1;2;3;3;2;2;3;3;3;3;;;;
2019;0;1;0;1;3;2;0;2;2;1;2;3;3;2;2;3;3;3;3;;;;
2020;0;1;0;1;3;2;0;2;2;1;2;3;3;2;2;3;3;3;3;;;;
